en1	en2	nl	singular	plural	model_translations1	model_translations2
aeroplane	airplane	vliegtuig	that travels by aeroplane	that travel by aeroplane	vliegtuigje;vliegtuigvliegtuig;vliegtuig;vlucht	vliegtuig;toestel
aluminium	aluminum	aluminium	that sells aluminium	that sell aluminium	aluminiumhouder;aluminiumaluminium;aluminium	aluminiumfolie;aluminiumproduct;aluminium
doughnut	donut	donut	that eats the doughnut	that eat the doughnut	donut;gek;dondonut;donghnut;doughnut;donuts	donut;ezel;ezels
foetus	fetus	foetus	that researches the foetus	that research the foetus	foetus;vrucht	foetus;etus;vrucht
flautist	flutist	fluitist	that knows the flautist	that know the flautist	vleitist;fluitiste;fluittist;fluisteraar;fluutist;fluitist;flautitist;flautist;fluïtist;flautiste	fluit;flutist;fluitiste;fluittist;fluistertist;fluïstische;fluitisten;fluitistische;fluitist;fluventitist;fluventiste;fluïtist;fluitiër
moustache	mustache	snor	that has a moustache	that have a moustache	snorretje;snor	snorresnor;snorretje;snor
tumour	tumor	tumor	that has a tumour	that have a tumour	tumoren;tumortumor;tumorvorm;tumortumorgebied;tumor;tumorstadium;tumormiddel	tumor
pyjamas	pajamas	pyjama	that wears pyjamas	that wear pyjamas	pyjamas;pypyjama &apos; s;pyjama &apos; s;pyjama;pypyjamas	pyjamas;pyjama &apos; s;pyjama ’ s;pyjama;pyama &apos; s
sulphate	sulfate	zwavel	that sells sulphate	that sell sulphate	sulfaatmiddel;sulfaatgehalte;sulfaat;sulsulfaatproces;sulsulfaat;sulfaatfaat;sulfaatsulfaat;sulesulfaat	zwavel;noodlot;sulfate;sulfaat;sullot;lot van sulfaat;sulfaatgeval;lot;sulfaatlot
yoghurt	yogurt	yoghurt	that eats the yoghurt	that eat the yoghurt	yoghurt	yogurk;yoghurt;yogurt;yoghurts
aubergine	eggplant	aubergine	that eats the aubergine	that eat the aubergine	aubergijn;aubergine;bergine;aubergines;auberginine	plant;aubergine;eikplant;eggplantgoed;eierplant;augplant;eiercentrale;eggplant;eggplantfabriek;aubergplant;eierstokken;wijnplant;eierfabriek;fabriek;aubergines;eggfabriek
shopping trolley	shopping cart	winkelwagen	that uses a shopping trolley	that use a shopping trolley	shopping trolley;winkeltrolley;winkelwagentrolley;winkelwagen;boodschappentrolley;winkelwagen trolley;winkelkar;boodschappenwagen;winkelwagentje;boodschappentar;winkelwagenwagen;trolley	winkelwagen;winkelmandje;winkelkar;winkelwinkelmand;winkelmand;winkelwagentje
veterinary surgeon	veterinarian	dierenarts	that knows the veterinary surgeon	that know the veterinary surgeon	veterinair chirurg;dierenarts;chirurg van dierenarts;dierenarts chirurg;dierenarts van dierenarts;veterinaire chirurg;dierenchirurg	veearts;dierenarts
sailing boat	sailboat	zeilboot	that owns a sailing boat	that own a sailing boat	zeilboot;vaarboot;zeilschip;boot van het zeilen;zeilen schip;zeilen boot;boot	zweefboot;zeilboot;zeilschip
football	soccer	voetbal	that plays football	that play football	voetbalbal;voetbal;football;voetbalvoetbal;voetbalclub;voetballen	soccer;voetbal;football;voetbalvoetbal;voetballen
holiday	vacation	vakantie	that enjoys the holiday	that enjoy the holiday	feest;vakantiefase;vakantie;vakantievakantie;feestdagen;feestdag	feestdagen;vakantiewoning;feestdag;vakantie
ladybird	ladybug	lieveheersbeestje	that caught a ladybird	that caught a ladybird	vogelvogel;vogel;lieveheerster;vogeltje;lieveheersbeestje;ladyvogel;ladybird;lieveheerser;lieveling;lieveheervogel;liedybird;vogelverschrikker;liederenvogel;lieveheersbeestjes;lieveheersvogel	liedybug;lieveheersbeestje;lieveling;ladybug;lieveheersbeestjes;lieveheerswants;ladyinsect
theatre	theater	theater	that loves theatre	that loves theatre	bioscoop;zaal;toneel;theaterzaal;schouwburg;theater	toneel;theater;bioscoop
postcode	zip code	postcode	with the same postcode	with the same postcode	postcode;post-code;postcodes;postnummer;code;post code	postcode van de zip;rits code;zip-code;ritscode;zizip-code;code van de zip;postcode;ritcode;zipcode;code;rritcode;zizizip-code;zielige code;zip code
whisky	whiskey	whisky	that drinks whisky	that drink whisky	whisky;whiskey	whisky;whiskey
